cg00,interview__key,interview__id,cg1a,cg1b,cg1_1,cg1_2,cg1_3,cg2__1,cg2__2,cg2__3,cg2__4,cg2__5,cg2__6,cg2__96,cg2i_other_institutions,cg3,cg4a,cg4b,cg6__1,cg6__2,cg6__3,cg6__4,cg6__5,cg6__6,cg6__7,cg6__8,cg6__96,cg6i,cg7__0,cg7__0c,cg7__1,cg7__1c,cg7__2,cg7__2c,cg7__3,cg7__3c,cg7__4,cg7__4c,cg8__1,cg8__2,cg8__3,cg8__4,cg8__5,cg8__6,cg8__7,cg9__1,cg9__2,cg9__3,cg9__4,cg9__5,cg9__6,cg9__7,cg9__8,cg9__96,cg9i,cg11,cg12,cg12i,cg13__1,cg13__2,cg13__3,cg13__4,cg13__5,cg13__6,cg13__7,cg13__8,cg13__9,cg13__96,cg13i,cg15__1,cg15__2,cg15__3,cg15__4,cg15__96,cg15i,cg16__1,cg16__2,cg16__3,cg16__4,cg16__5,cg16__96,cg16i,cg19__1,cg19__2,cg19__3,cg19__96,cg19i,cg21a,cg21b,cg21c,cg22__1,cg22__2,cg22__3,cg22__4,cg22__5,cg22__6,cg22__7,cg22__8,cg22__96,cg22i,cg25__1,cg25__2,cg25__3,cg25__4,cg25__5,cg25__6,cg25__7,cg25__8,cg25__9,cg25__10,cg25__11,cg25__12,cg25__13,cg25__96,cg25i
13,53-74-62-20,3f8511da8f1542bab1b5820f7268671c,121.0,143.0,No,No,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,Land Administration Department (National  Government) especially where there are leases,14.0,113.0,137.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,700 Sqm Storey Building,1.0,824 Sqm  non storey Building,2.0,1132 Sqm building,3.0,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Others (Specify),"Building not drawn to required standards i.e  minimum window size, minimum standard height of building,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Preparation of  digital system underway,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,No un approved plans,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,
18,67-97-58-54,3c31d4da388f471c833850f4072e70d5,376.0,296.0,No,No,,1.0,,1.0,,,,1.0,Roads Department,21.0,323.0,268.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,Non-Storey,1.0,Storey 1-2 floors,2.0,Storey above 3 floors,3.0,##N/A##,,##N/A##,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,Yes,Developers not meeting the minimum requirements for approval,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,1.0,Financial Constraint,10936.0,100.0,10836.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
33,18-40-62-46,9aa8ba522c2e45afa3afe278dc838cb2,264.0,194.0,No,No,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Water, county public works",30.0,258.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Encroachment of public utilities,Residential,1.0,Commercial,2.0,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,Yes,Developers not meeting the minimum requirements for approval,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,Survey and planning is on progress,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
11,73-42-73-16,78977e130d92436db786d22d4b6c1c79,16.0,13.0,No,No,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,public works,7.0,12.0,10.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,khs 9,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Developers' not knowing what is expected of them,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,financial constraints,31.0,27.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,
28,46-57-19-86,766a5994197043bbb67af4f4d6762099,51.0,44.0,No,No,,1.0,0.0,1.0,0.0,1.0,1.0,,,30.0,48.0,44.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,multistorey building,1.0,single storey building,2.0,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,No,Land tenure system,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,120.0,100376.0,308600.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
32,10-86-57-18,4f62e4ae43844aefb73fac5037347f1d,1168.0,636.0,Yes,No,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,survey,50.0,968.0,577.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,poor designs,BUNGALOW,1.0,maisonette,2.0,flats,3.0,##N/A##,,##N/A##,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Zoning,Yes,Developers not meeting the minimum requirements for approval,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,
24,68-90-06-90,f62dedb5a7ea452dbe7d083a9ab5be24,21.0,30.0,No,No,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,Public works,2.0,21.0,28.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,250,1.0,300,2.0,200,3.0,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Developers' not knowing what is expected of them,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
4,83-49-18-85,1020b629b9084d1291bc652942c0950d,,,,,,,,,,,,,,,,,,,,,,,,,,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
44,66-51-66-47,8b172cdf854d4afd8ff6d16cfff0f907,168.0,202.0,No,Yes,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,public works,14.0,159.0,192.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,100,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Developers not meeting the minimum requirements for approval,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,Bricks,1.0,0.0,1.0,1.0,Budgetary constraints,2799.0,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
1,79-36-82-98,a7434bf3b0a445708dda003c34770c94,695.0,762.0,Yes,Yes,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,30.0,450.0,600.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,Residential,1.0,commercial,2.0,industrial,3.0,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,No,Developers not meeting the minimum requirements for approval,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,regularization of land tenure,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,cement,0.0,0.0,1.0,0.0,,120.0,20.0,100.0,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,regularization of land tenure
41,98-43-02-13,e228fffcb1ae41b09bbcee83726de091,58.0,71.0,No,No,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,Survey,14.0,,60.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,200,1.0,400 - Storey Building,2.0,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,Developers not meeting the minimum requirements for approval,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,,7.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
14,64-23-43-77,8b3f29098ca946b9946b493153272e14,176.0,161.0,No,No,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,14.0,150.0,139.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
37,13-59-31-22,6d828f8071914ff49b7d08be01e2f382,523.0,592.0,No,No,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,30.0,523.0,592.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,5550,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Developers not meeting the minimum requirements for approval,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,burnt bricks,1.0,0.0,1.0,0.0,,37750.0,11325.0,26425.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,change of user and expansion of urban boundaries,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
20,22-68-87-09,9a10f04e2fb440a1bffff2d6573b8fb9,170.0,173.0,No,No,,1.0,1.0,1.0,1.0,1.0,1.0,,,14.0,150.0,167.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1,1.0,2,2.0,3,3.0,##N/A##,,##N/A##,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,No,Developers not meeting the minimum requirements for approval,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,plans have not been initiated,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,
22,30-76-82-61,f4ef589c29b742b08404bca4f8fe2597,,,No,Yes,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,30.0,830.0,1256.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,Ground coverage,0,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"proposed use, security eg airports and barracks",Yes,Developers not meeting the minimum requirements for approval,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,public awareness through huduma mashinani,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,pending county assembly approvals,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
40,99-75-47-05,e3248c6cf1e143d68474e499318f4006,394.0,462.0,No,No,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,14.0,372.0,401.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0 - 46,1.0,47 - 93,2.0,94 - 140,3.0,##N/A##,,##N/A##,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Developers not meeting the minimum requirements for approval,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
36,17-79-01-28,0981f7c21fff47b2a80cfee651bb01d3,40.0,45.0,No,No,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Revenue,3.0,40.0,45.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0 - 465 square meters,1.0,530 - 595 square meters,2.0,855 -930 square meters,3.0,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Political interference,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,bricks,0.0,0.0,1.0,1.0,lack of enough funds,25.0,286.0,336.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,33-87-45-68,b1aefdddb27048ee937b39450d727e59,240.0,300.0,No,No,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,public works,4.0,240.0,300.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,ground floor,1.0,1st floor,2.0,2nd floor,3.0,4th floor and above,4.0,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Land tenure system,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,manual plans done and overtaken by events,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,
17,88-61-23-40,6acb735b182a4c7eae74f89dedd8ef0e,180.0,200.0,No,No,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,30.0,162.0,181.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,proof of ownership,No,Developers not meeting the minimum requirements for approval,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Not applicable,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
26,30-63-78-08,20d488dee8274cf296d1571473f00d54,90.0,59.0,No,Yes,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,public works,30.0,90.0,59.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,up to 300m 2,1.0,300- 600,2.0,over 1000m2,3.0,##N/A##,,##N/A##,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,compatibility,No,Developers' not knowing what is expected of them,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,facilitating process of obtaining of ownership documents by the county government.,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,,809.0,50.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,enforcement of zoning regulations as per physical planning standards.,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
29,76-93-27-05,42404bff9fcf4c99be80b79e44d81a0d,54.0,98.0,No,Yes,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Disaster Management,14.0,36.0,67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,141-186,1.0,241-294,2.0,351-400,3.0,##N/A##,,##N/A##,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,Yes,Developers not meeting the minimum requirements for approval,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
