interview__key,interview__id,est_code,county_name,se1,se1i,se2__1,se2__2,se2__3,se3a__1,se3a__2,se3a__3,se3a__4,se3a__5,se3a__6,se3a__7,se3a__8,se3a__96,se3a__9,se3_other,se4a,se4b,se5a,se5b1,se5b2,se6__1,se6__2,se6__3,se6__4,se6__5,se6__96,se6i,se7,se8b,se9__1,se9__2,se9__3,se9__4,se9__5,se10__1,se10__2,se10__3,se11__1,se11__2,se11__3,se11__4,se11__5,se11__6,se11__96,se11i,se12,se12i,se13,se14__1,se14__2,se14__3,se14__4,se14__5,se14__96,se14i,se15,se16,se16i
01-83-49-21,71ef94ac10b2447c8d65b2702910bf2d,341.0,NAIROBI CITY,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,Appraisal and ledger fee,12.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,96.0,High cost of land,0.0,,,,,,,,1.0,,
77-67-00-62,2870794e01864a3baf6d44ef7c4e44b5,163.0,NAIROBI CITY,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,42400000000.0,11.7,3.0,210.0,478.0,1.0,1.0,1.0,1.0,1.0,0.0,,12.1,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6.0,,1.0,1.0,0.0,2.0,3.0,0.0,0.0,,1.0,1.0,
01-77-54-28,2066d037374243e3b9084d8dc0937c14,187.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,18110000000.0,3.1,3.0,339.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,,15.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,3.0,,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,1.0,1.0,
01-40-99-54,07ddb74d52b0443c815ccd0c828a79b3,166.0,NAIROBI CITY,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,8379808000.0,3.0,3.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,,18.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,,0.0,,,,,,,,0.0,3.0,
51-62-37-61,c8b35562f7a54acbb9865fca6fd6c215,191.0,NAIROBI CITY,1,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,30115342.0,27.81,3.0,63.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,,15.71,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Allow guarantors and/or relative to redeem the loans,6.0,,1.0,1.0,0.0,0.0,2.0,3.0,0.0,,0.0,1.0,
81-55-12-61,3dfe2f3d019342fe985917c8f68d3ddf,161.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,742000000.0,6.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,18.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,4.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,
31-23-39-15,d558ea8116fb4f0a8a46fb9603c5fe67,351.0,NAIROBI CITY,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,Equity Release,51520444787.0,21.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Annual Review fee,15.98,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,,1.0,1.0,2.0,0.0,0.0,0.0,3.0,Financial ability of the borrower,1.0,5.0,
55-50-10-58,78fd8a9c72d345b1afdd9f7d92ac31e3,193.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,22000000000.0,0.16,3.0,96.0,96.0,,,,,,,,7.0,,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,3.0,,1.0,0.0,1.0,0.0,2.0,3.0,0.0,,0.0,1.0,
03-31-37-15,f5a8e268f1f540c2ad7831451c84edac,160.0,NAIROBI CITY,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,11933139863.26,2.27,3.0,21.0,95.0,1.0,1.0,1.0,1.0,0.0,0.0,,13.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,3.0,,1.0,1.0,2.0,3.0,0.0,0.0,0.0,,0.0,1.0,
16-24-27-74,10ac65f856c04372a2e18889bb6f698c,153.0,NAIROBI CITY,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2860000000.0,,3.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,,0.0,,,,,,,,0.0,96.0,Don't participate in the same.
74-76-57-70,0d62c8f290084dfda0d76bb7d7d4dbb5,184.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,545996000.0,,3.0,27.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,,15.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,,1.0,1.0,2.0,3.0,0.0,0.0,0.0,,0.0,1.0,
04-00-44-21,9ce3c35f987b49c4ad3c43ae534c13d1,347.0,NAIROBI CITY,1,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,727523209.0,35.46,3.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,15.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,2.0,,0.0,,,,,,,,0.0,1.0,
27-84-11-29,cf09f82ca643429f9c50e5090a9d55d5,190.0,NAIROBI CITY,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,52809443395.32,27.34,3.0,107.0,215.0,1.0,1.0,1.0,1.0,1.0,0.0,,16.5,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,4.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,
33-27-91-39,eef4ac9b37a04bfb8fc4a41a18888f3a,167.0,NAIROBI CITY,1,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,not specific but are on housing,23020000000.0,8.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,processing fee,13.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,4.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,
58-12-55-43,0cb09a202ba243aa9f1e02e9bae4f5d8,155.0,NAIROBI CITY,1,,0.0,0.0,0.0,,,,,,,,,,,,33690023659.0,12.04,3.0,,,,,,,,,,14.5,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,96.0,"demystify product, lack of supply of affordable units",1.0,0.0,0.0,1.0,0.0,0.0,2.0,client affordability,1.0,1.0,
89-52-05-50,08deca488b0842a6b55bc9ed55be7884,340.0,NAIROBI CITY,1,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,4987724536.12,0.02,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,3.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,
46-09-69-03,f5436b58afc241a88caa59c770348069,86.0,Kiambu,1,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,110774320.0,0.63,5.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,96.0,none
61-65-82-92,95d9c646245c4bfa9aac1d33757ce657,344.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,328881098.98,13.09,3.0,194.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.1,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,
52-36-86-02,e0fe9433009d414ab104180ddd57abdf,194.0,NAIROBI CITY,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,25334420225.0,,3.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,,1.0,1.0,0.0,2.0,0.0,3.0,0.0,,0.0,2.0,
97-04-80-12,10993819ad0c44d2af53b60dbd3f20df,164.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,12.0,3.0,34.0,102.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-83-06-00,aeaa2622178e47ee9080d917a1daa56b,342.0,NAIROBI CITY,1,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,4763000000.51,1.56,3.0,28.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,,14.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,
20-18-21-98,f1c85db3a4c648d186149f8833d3e11d,159.0,NAIROBI CITY,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,auto loans,27865271306.0,,3.0,20.0,184.0,1.0,1.0,1.0,1.0,1.0,1.0,excise duty,16.5,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,3.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,
50-36-28-84,05c599283858409595f1eae2c112922c,189.0,NAIROBI CITY,1,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,59860697000.0,1.18,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,13.7,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,,1.0,1.0,2.0,3.0,0.0,0.0,0.0,,0.0,1.0,
75-21-55-85,7c22202a5b784dcfb0d8b4d7c8e15ce5,192.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,240020000000.0,0.24,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,4.0,,0.0,,,,,,,,0.0,1.0,
02-52-64-13,b6c13ec725814b71ba82a4fb9c5d8d02,188.0,NAIROBI CITY,1,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,87856876814.0,22.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,11.91,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,6.0,,0.0,,,,,,,,0.0,1.0,
42-30-08-15,80be1574a4024fad9c063868a2f0c3b5,346.0,NAIROBI CITY,1,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,52550000.0,,3.0,30.0,20.0,1.0,0.0,1.0,1.0,1.0,0.0,,11.8,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,3.0,,0.0,,,,,,,,1.0,1.0,
39-83-29-02,a525b7b5d2734c72850ef1a48a5647a1,162.0,NAIROBI CITY,1,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,8500000.0,1.0,3.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,,1.0,1.0,0.0,2.0,3.0,0.0,0.0,,0.0,1.0,
88-57-85-88,4e166af96e7d4aaeb6f91f2694d99fbb,165.0,NAIROBI CITY,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,1.0,0.0,0.0,3.0,2.0,1.0,0.0,,0.0,96.0,Never had such case's
02-89-23-89,7488f6b3def9448181d9232ff71f179f,168.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,Other Development Loans,,38.5,3.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.5,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,4.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,1.0,
42-03-89-09,7a8f85760272402284ac385b0038f732,348.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,"Equity release, personal loans and home improvement loans",21746182000.0,8.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,Collateral Replacement Indemnity Insurance,11.3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,4.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Insurable loan limits,1.0,5.0,
64-49-09-53,2d19ca6ecb65456ebf1d827d6dee47f8,157.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,3.0,,,1.0,1.0,0.0,1.0,1.0,0.0,,13.67,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,96.0,##N/A##,1.0,1.0,2.0,3.0,0.0,0.0,0.0,,1.0,1.0,
83-32-18-01,eda8ccb21b5d4262b880cda03d2cbab5,156.0,NAIROBI CITY,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,55668406000.0,,5.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,
50-90-27-18,d93540945c3a425fa46697a80e642e06,345.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,10742644.0,,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,,1.0,1.0,2.0,3.0,0.0,0.0,0.0,,1.0,1.0,
26-06-66-89,ac0a41648a3548c4a3b8b0e9f10d34ad,337.0,NAIROBI CITY,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,50000000.0,,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,3.0,,0.0,,,,,,,,0.0,5.0,
17-82-06-43,c0e031b2a55b4caea8940c6ff7edbadf,180.0,NAIROBI CITY,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,473478981.0,,3.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,96.0,N/A,0.0,,,,,,,,0.0,96.0,N/A
62-54-79-04,5dfb29c8361d4f84b8744c0d5e8deaa8,138.0,Busia,5,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1734674402.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,
22-00-01-82,f91fbb34202246da863387afe2d5e275,333.0,NAIROBI CITY,2,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2547335683.0,0.45,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,6.0,,1.0,0.0,0.0,1.0,2.0,0.0,0.0,,0.0,6.0,
33-72-78-90,6fcddf76ce204177abf3eac1ade4d2e5,17.0,Embu,5,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,250000000.0,3.0,1.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,5.0,,0.0,,,,,,,,0.0,1.0,
72-19-63-21,3192e25bae9944b88d4c7dffffaad206,152.0,NAIROBI CITY,1,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
07-83-43-40,e68d1cae93fc42978eb21eb5b0a557c8,339.0,NAIROBI CITY,2,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,48858129.0,5.0,3.0,,,,,,,,,,12.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,5.0,,0.0,,,,,,,,0.0,1.0,
72-08-17-86,c0d37dfdd3c04e8b8896365bd13648b3,343.0,NAIROBI CITY,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,251898032.0,,3.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,96.0,They don't lend money for mortgage and construction,0.0,,,,,,,,0.0,96.0,None because they don't offer such loans
37-95-52-99,48ef07335fae4e24a9c123f637ce4ad9,183.0,NAIROBI CITY,2,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,stamp duty on charge,18.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,3.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,
50-45-87-69,f4e807f2c9294924bce9cfd8af8fe18f,338.0,NAIROBI CITY,2,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1739860886.0,3.0,3.0,145.0,0.0,,,,,,,,18.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,6.0,,0.0,,,,,,,,0.0,1.0,
69-96-10-59,aed23862dd1a43d59d49e4ecad86dc86,335.0,NAIROBI CITY,2,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,486199787.0,8.0,3.0,3.0,32.0,1.0,1.0,1.0,1.0,1.0,0.0,,6.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,3.0,,1.0,0.0,0.0,1.0,2.0,3.0,0.0,,0.0,1.0,
13-12-34-97,ddb508dbdd004450b2102678e79fa8d6,182.0,NAIROBI CITY,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,5.0,,0.0,,,,,,,,0.0,1.0,
13-23-05-39,dbcd5337e0be4d42a8b8eb3abf39fd3f,181.0,NAIROBI CITY,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,96.0,Umba Microfinance have not yet ventured into housing Financing,0.0,,,,,,,,0.0,96.0,Umba Microfinance have not yet ventured into housing Financing.
87-22-48-53,1504cae950114c8b9773907fab0eb142,334.0,NAIROBI CITY,2,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,13519569.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,,0.0,,,,,,,,0.0,1.0,
